key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
26:21.0,4.5,2009-06-15 17:26:21 UTC,-73.844311,40.721319,-73.84161,40.712278,1
52:16.0,16.9,2010-01-05 16:52:16 UTC,-74.016048,40.711303,-73.979268,40.782004,1
35:00.0,5.7,2011-08-18 00:35:00 UTC,-73.982738,40.76127,-73.991242,40.750562,2
30:42.0,7.7,2012-04-21 04:30:42 UTC,-73.98713,40.733143,-73.991567,40.758092,1
51:00.0,5.3,2010-03-09 07:51:00 UTC,-73.968095,40.768008,-73.956655,40.783762,1
50:45.0,12.1,2011-01-06 09:50:45 UTC,-74.000964,40.73163,-73.972892,40.758233,1
35:00.0,7.5,2012-11-20 20:35:00 UTC,-73.980002,40.751662,-73.973802,40.764842,1
22:00.0,16.5,2012-01-04 17:22:00 UTC,-73.9513,40.774138,-73.990095,40.751048,1
10:00.0,9,2012-12-03 13:10:00 UTC,-74.006462,40.726713,-73.993078,40.731628,1
11:00.0,8.9,2009-09-02 01:11:00 UTC,-73.980658,40.733873,-73.99154,40.758138,2
30:50.0,5.3,2012-04-08 07:30:50 UTC,-73.996335,40.737142,-73.980721,40.733559,1
24:00.0,5.5,2012-12-24 11:24:00 UTC,0,0,0,0,3
04:03.0,4.1,2009-11-06 01:04:03 UTC,-73.991601,40.744712,-73.983081,40.744682,2
54:00.0,7,2013-07-02 19:54:00 UTC,-74.00536,40.728867,-74.008913,40.710907,1
11:05.0,7.7,2011-04-05 17:11:05 UTC,-74.001821,40.737547,-73.99806,40.722788,2
57:00.0,5,2013-11-23 12:57:00 UTC,0,0,0,0,1
22:00.0,12.5,2014-02-19 07:22:00 UTC,-73.98643,40.760465,-73.98899,40.737075,1
08:00.0,5.3,2009-07-22 16:08:00 UTC,-73.98106,40.73769,-73.994177,40.728412,1
52:00.0,5.3,2010-07-07 14:52:00 UTC,-73.969505,40.784843,-73.958732,40.783357,1
36:22.0,4,2014-12-06 20:36:22 UTC,-73.979815,40.751902,-73.979446,40.755481,1
18:00.0,10.5,2010-09-07 13:18:00 UTC,-73.985382,40.747858,-73.978377,40.76207,1
15:46.0,11.5,2013-02-12 12:15:46 UTC,-73.957954,40.779252,-73.96125,40.758787,1
17:23.0,4.5,2009-08-06 18:17:23 UTC,-73.991707,40.770505,-73.985459,40.763671,1
29:00.0,4.9,2010-12-06 12:29:00 UTC,-74.000632,40.747473,-73.986672,40.740577,1
37:00.0,6.1,2009-12-10 15:37:00 UTC,-73.969622,40.756973,-73.981152,40.759712,1
15:00.0,7.3,2011-06-21 16:15:00 UTC,-73.991875,40.754437,-73.97723,40.774323,3
01:00.0,6.5,2011-02-07 20:01:00 UTC,0,0,0,0,1
47:00.0,4.5,2011-06-28 19:47:00 UTC,-73.988893,40.76016,-73.986445,40.757857,3
11:20.0,9.3,2012-05-04 06:11:20 UTC,-73.989258,40.690835,-74.004133,40.72569,1
52:00.0,4.5,2013-08-11 00:52:00 UTC,-73.98102,40.73776,-73.980668,40.730497,2
03:00.0,5.5,2014-02-19 16:03:00 UTC,-73.976075,40.752422,-73.981082,40.759285,1
46:34.0,22.54,2015-06-21 21:46:34 UTC,-74.01048279,40.71766663,-73.98577118,40.66036606,1
10:00.0,31.9,2009-01-09 16:10:00 UTC,-73.873027,40.773883,-73.984545,40.769545,3
05:00.0,5.7,2011-09-07 14:05:00 UTC,-73.976162,40.744988,-73.990002,40.738323,2
05:44.0,18.1,2011-09-07 23:05:44 UTC,-73.993717,40.740785,-73.999272,40.676617,1
15:38.0,58,2015-01-11 03:15:38 UTC,-73.98332977,40.73871994,-73.93319702,40.84722519,1
08:38.0,4.5,2015-03-12 08:08:38 UTC,-73.99017334,40.75644684,-73.98561859,40.76282883,1
15:30.0,5.3,2012-01-19 10:15:30 UTC,-73.995199,40.75474,-74.005416,40.751084,1
42:00.0,9,2013-11-24 11:42:00 UTC,-73.95774,40.773617,-73.977087,40.758465,6
42:49.0,9.8,2009-03-02 20:42:49 UTC,-73.972673,40.759186,-73.969897,40.791367,1
39:49.0,8.1,2011-03-29 15:39:49 UTC,-73.984267,40.744961,-73.981646,40.759608,1
55:24.0,10.9,2011-10-15 10:55:24 UTC,-74.003899,40.725514,-73.976484,40.765537,2
38:09.0,17.5,2013-11-22 08:38:09 UTC,-73.97845,40.76292,-74.008482,40.716502,1
28:00.0,12.1,2009-06-10 21:28:00 UTC,-73.988558,40.7372,-73.958688,40.780748,1
12:00.0,5.3,2011-03-04 18:12:00 UTC,-73.997037,40.737095,-73.986128,40.735043,1
14:15.0,6.9,2011-08-31 21:14:15 UTC,-73.971114,40.758944,-73.97793,40.736613,1
30:00.0,4.5,2011-06-01 20:30:00 UTC,-73.980822,40.74442,-73.991093,40.748797,1
53:00.0,3.3,2011-12-14 07:53:00 UTC,-73.988877,40.763577,-73.985573,40.760262,1
16:00.0,3.3,2012-07-18 00:16:00 UTC,-73.98666,40.756072,-73.989727,40.751702,5
26:00.0,9,2013-01-29 12:26:00 UTC,-73.992253,40.742657,-73.983597,40.755947,1
09:21.0,9.7,2011-12-06 09:09:21 UTC,-73.985582,40.739765,-73.973899,40.760426,1
31:36.0,5.5,2012-10-06 20:31:36 UTC,-73.952825,40.772048,-73.952194,40.781152,3
01:38.0,8,2013-01-23 07:01:38 UTC,-73.980298,40.783723,-73.979628,40.763179,1
17:00.0,7.5,2013-09-07 03:17:00 UTC,-73.977708,40.746212,-73.975782,40.745055,1
12:19.0,25.5,2013-11-10 01:12:19 UTC,-73.974497,40.751603,-73.934927,40.851567,4
07:29.0,15.3,2012-01-04 18:07:29 UTC,-73.97151,40.755886,-73.968067,40.801173,1
06:00.0,34.67,2010-05-31 18:06:00 UTC,-73.985427,40.758853,-73.872907,40.774497,1
55:00.0,9.7,2011-03-19 21:55:00 UTC,-73.979542,40.727498,-73.999315,40.730088,4
53:14.0,13.7,2012-07-19 23:53:14 UTC,-74.002113,40.739582,-73.971918,40.791899,2
13:29.0,6.5,2009-03-23 12:13:29 UTC,-73.98543,40.736011,-73.982501,40.724802,1
57:00.0,5,2014-07-16 10:57:00 UTC,-73.996148,40.74189,-73.992202,40.739425,6
21:03.0,4.5,2011-04-22 23:21:03 UTC,-74.009137,40.713436,-74.002823,40.723428,3
54:00.0,4.9,2012-01-02 14:54:00 UTC,-74.003985,40.731677,-73.999765,40.723512,1
12:00.0,7,2014-05-01 09:12:00 UTC,-73.966203,40.7675,-73.980915,40.77424,6
47:40.0,7.3,2011-11-07 10:47:40 UTC,-74.003919,40.753019,-73.992368,40.735362,1
59:08.0,7.5,2012-10-07 17:59:08 UTC,-74.004736,40.715882,-74.017723,40.705141,1
03:00.0,8.5,2014-01-17 09:03:00 UTC,-73.991467,40.750575,-73.98575,40.741547,4
28:00.0,16.5,2014-04-29 18:28:00 UTC,-73.970323,40.75084,-73.998392,40.724862,6
19:05.0,11.5,2015-04-12 10:19:05 UTC,-73.97927856,40.72343826,-74.00460815,40.74694824,6
51:42.0,5,2015-05-12 23:51:42 UTC,-73.95479584,40.77933502,-73.94493103,40.78008652,1
